OrderID,OrderDate,Region,Product,Category,Quantity,UnitPrice,TotalSales,Profit
10001,2023-09-26 12:36:44,South,Laptop Model A,Electronics,3,603,1809,358.05
10002,2023-07-06 06:41:18,South,Refrigerator,Appliances,4,914,3656,669.37
10003,2023-09-27 23:57:30,South,Refrigerator,Appliances,2,856,1712,179.42
10004,2023-11-07 20:42:47,East,Tablet D,Electronics,5,956,4780,798.62
10005,2023-09-02 00:03:08,South,Office Chair,Furniture,1,417,417,56.47
10006,2023-06-04 02:38:12,East,T-Shirt (Red),Clothing,2,63,126,15.08
10007,2023-01-26 20:41:29,South,Jeans,Clothing,1,18,18,5.24
10008,2023-11-06 10:37:10,Central,Tablet D,Electronics,5,1016,5080,1116.95
10009,2023-06-18 19:43:06,West,Jacket,Clothing,1,26,26,6.39
10010,2023-11-01 10:04:58,East,Office Chair,Furniture,5,670,3350,546.29
10011,2023-12-05 02:05:11,South,Sofa,Furniture,1,650,650,116.11
10012,2023-10-05 13:30:28,Central,Laptop Model A,Electronics,5,903,4515,665.44
10013,2023-04-22 10:35:19,West,Dining Table,Furniture,3,593,1779,212.4
10014,2023-09-03 22:41:27,East,Microwave,Appliances,3,956,2868,389.49
10015,2023-05-02 20:07:30,West,Tablet D,Electronics,5,326,1630,422.99
10016,2023-09-04 12:54:45,Central,Dining Table,Furniture,5,100,500,117.75
10017,2023-03-27 16:54:12,East,Tablet D,Electronics,4,218,872,182.58
10018,2023-02-27 15:45:05,West,T-Shirt (Blue),Clothing,4,81,324,63.19
10019,2023-06-11 11:56:07,South,Bookshelf,Furniture,5,208,1040,295.87
10020,2023-08-03 15:08:27,East,Washing Machine,Appliances,4,494,1976,226.34
10021,2023-02-22 07:56:13,West,Sofa,Furniture,1,400,400,62.45
10022,2023-03-11 16:11:17,Central,Headphones C,Electronics,2,302,604,102.67
10023,2023-02-08 17:06:09,Central,Smartphone Model B,Electronics,4,449,1796,460.65
10024,2023-04-17 06:05:51,East,Sofa,Furniture,5,619,3095,923.87
10025,2023-01-02 04:42:35,West,Microwave,Appliances,1,908,908,134.51
10026,2023-07-04 18:33:56,East,Blender,Appliances,5,480,2400,659.67
10027,2023-01-15 14:45:52,East,Refrigerator,Appliances,1,736,736,195.87
10028,2023-04-24 05:57:13,West,Tablet D,Electronics,4,1049,4196,608.13
10029,2023-03-07 13:33:09,West,Bookshelf,Furniture,2,423,846,152.17
10030,2023-12-18 06:26:04,South,Jacket,Clothing,1,45,45,8.19
10031,2023-04-23 05:19:39,West,Tablet D,Electronics,2,684,1368,404.44
